balti,english
Elder borther, kaka
Crow, Kaaka
Kaaka rang,cucamber
ka ku, wolf
ka ku, beast
ka sked, multi pillar
ka cha, goods
ka cha, articles
ka cheh ri, court of justice
kacho, raja
kati smin mo, blacksmith
katora, cup
karten, support for pillar
kathyu, turned foot finger
kathara, peach
kathang, arrogant
kathangchan,arrogance
kathab,cooking place
kadar, beware
kanastar, canister
kapi,copy
kaba, to bury
kabab, kabab
kara, chitchat
karam, cabbage
karushing,gallows
kalak,mud
kalij,college
kalima,speech
kalimal,basil
kale,share of luck
kale tang ma, to send
kale tong,send
ka lep,flat pillar
kashoq,wooden spoon
kase, wooden box
kafan,shroud
kang kas,poor
kang skin, helper
kang kol,to help
kang kyog,curved
kang khat,to hinder
kang khat, obstruct
kang khris,leg iron
kang khris,restrain
kang go,land lord
kang rga, omen
kang ngan,ill omen
kang jong, towards leg
kang jiring,to fall
kang stong, bare foot
kang thil, sole of the feet
kang then, to support feet while climbing a higher place
kang polo,football
kang phit,bad omen
kang phing,woolen socks
kang phran,four footed
kang bdas,to go after
kang bdas,chase
kang bari,between the legs
kang ma,feet
kang mi,of the feet
kang mi,foot solider
kang mi gat,bone of foot joint
kang mi phrango,the ankle
kang mi shwat,back of side of feet
kang mi so mang,bones of feet
kang mi sen mo,fingers of the foot
kang tse,socks
kang tsot,stanf on feet fingers
kang rtsa,vein of foot
kang rtsis,census
kang zen,bare footed
kang rzes,foot print
kang yond,one with twisted feet
kang lyakh,good omen
kang shing,wooden boots
kang sa,boundry
kang sngon,green foot
kang lham,boot
kang lham,shoe
kaj,button hole
kat tal,piece of slate
kat pa,mud slide
kat byer ba,to cling
kan,mine
kan kan,hind side of knee
kan duru,throat
kan dari,all around
kan ma,to prop
kan sa,place to prop
kane,having prop
kaptan,team captain
kab sa duk,keep
kab za,handle of sword
kab sha,shoes
kab sha,leather
kam chan,unprofitable
kam chan,with little growth
kamander,leader of a group of fighters
kaz bur,bush with throns
kar,motor car
kar toos,cartridge
kar khana,workshop
kar,suffering
kar,pain
kar,grief
kar kong,water course
karnel,colonel
kar pat,complete white
kar pung,white hair
kar par,eagerness
kar pho,white
kar pho rgyuma,large intestine
kar rtsi,whitewash
kar yul,porcelain
kar ling,white
kar lug,white lamb
kal,famine
kal,drought
kal kil,black bitting
kal da,bag
kal da,purse
kal phi,loaded
kal phi,remitted
kal ba,to mount
kal ba,to send
kal ba,to graft
kal ya,coating of tin
kas,crack
kas ka,stairs
kas ka,ladder
kas tan,base of the pillar
kas pa,to brust
kas ong ma,to crack
ka sal,your honour
ka sal,sir
ka sal rmot pa,to call
ka sal rmot pa,to send for
kas na,horn trumpet
kat kat,noise of hen
kat kateg,sound of hen after laying
ki ki,sparrow hawk
ki ti,little goat
ki moq,ant
chimoq,ant
ki tsaraq,prancing of young goats
ki li,hoe
ki li,spud
ki shik,flea
ki sir,bread
ki rik,clue
ki rik mi bya,be silent
ki rik karaq,bending track
ki rik karaq,zig zag
ki rik karaq,twisted path
kik pa,be adorned
kit,small
kit,wee
kit,prancing of goat
kit phang ma,to prance
kt kit bya,apparent love
kt kit bya,tansitory respect
kish,light streak
kish cha,anger
ksh mish,rasin
ku che,slow
ku che,easily
ku che,comfortably
ku naq,oil cake
ku zhing,swallow
ku aat,wide open mouth
ku aat,cooking pain made of stone
ku rum bu,narrow
ku rik,bent
ku laq,ku laq
ku luk,key
ku lung,heron
ku le,slowly
ku le,comfortably
ku shu,apple
ku shu mik,sheep with spots arround eyes
ku aa,skin
ku aa,hide
ku aa,unable to tenderize
ku hu,a species of dove
kuk pa,to bend
kuk pa,to curl
kuk pa,to bow
kub zhi,squat
kur,water measure
kur,inkling
kur,sixth sense
kur chan,intelligent
kur chan,wise
kur chan,shrewd
kur kum,saffron
kul kul,lazy
kul kul,work at slow speed
gul gul,lazy
gul gul,work at slow speed
kul cha, kul cha
